FEATURES_TXT_BEGIN_0 0 1 8 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 TranslationModel1_0 
-26.0882 -11 20 0 -0.559615 0 0 8.99907 
FEATURES_TXT_END_0
FEATURES_TXT_BEGIN_0 1 20 8 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 TranslationModel1_0 
-62.4465 -40 78 -4.9717 -8.6658 -4.84588 -11.5334 37.9961 
-67.9229 -40 78 -0.817642 -4.41323 -2.36097 -9.04849 37.9961 
-62.011 -41 78 -7.91614 -8.6658 -9.13634 -12.632 37.9961 
-62.4465 -40 78 -5.66485 -9.11779 -5.76217 -11.7341 37.9961 
-67.4873 -41 78 -3.76208 -4.41323 -6.65143 -10.1471 37.9961 
-67.9229 -40 78 -1.51079 -4.86521 -3.27726 -9.24916 37.9961 
-62.4465 -40 78 -4.9717 -8.89464 -6.45532 -12.3218 37.9961 
-67.9229 -40 78 -0.817642 -4.64207 -3.97041 -9.83694 37.9961 
-62.011 -41 78 -8.60929 -9.11779 -10.0526 -12.8327 37.9961 
-67.4873 -41 78 -4.45523 -4.86521 -7.56772 -10.3478 37.9961 
-62.011 -41 78 -7.91614 -8.89464 -10.7458 -13.4205 37.9961 
-67.4873 -41 78 -3.76208 -4.64207 -8.26087 -10.9356 37.9961 
-64.1404 -41 78 -7.91614 -8.6658 -9.13634 -12.632 37.9961 
-69.6167 -41 78 -3.76208 -4.64207 -8.26087 -10.9356 37.9961 
-69.6167 -41 78 -3.76208 -4.41323 -6.65143 -10.1471 37.9961 
-64.1404 -41 78 -7.91614 -8.89464 -10.7458 -13.4205 37.9961 
-63.7048 -42 78 -10.8606 -8.6658 -13.4268 -13.7306 37.9961 
-69.6167 -41 78 -4.45523 -4.86521 -7.56772 -10.3478 37.9961 
-64.1404 -41 78 -8.60929 -9.11779 -10.0526 -12.8327 37.9961 
-69.1812 -42 78 -6.70652 -4.41323 -10.9419 -11.2457 37.9961 
FEATURES_TXT_END_0
FEATURES_TXT_BEGIN_0 2 4 8 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 TranslationModel1_0 
-56.8155 -37 72 -4.81169 -7.37861 -3.68597 -7.44793 34.9964 
-62.2918 -37 72 -0.657626 -3.12604 -1.20106 -4.96302 34.9964 
-58.5093 -38 72 -7.75613 -7.37861 -7.97643 -8.54654 34.9964 
-63.9857 -38 72 -3.60206 -3.12604 -5.49152 -6.06164 34.9964 
FEATURES_TXT_END_0
FEATURES_TXT_BEGIN_0 3 14 8 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 TranslationModel1_0 
