SCORES_TXT_BEGIN_0 0 4 9 BLEU
6 9 4 8 2 7 1 6 12 
6 9 4 8 2 7 1 6 12 
6 9 4 8 2 7 1 6 12 
6 10 3 9 2 8 1 7 12 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 1 3 9 BLEU
38 38 37 37 36 36 35 35 38 
38 39 36 38 34 37 32 36 38 
38 39 36 38 34 37 32 36 38 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 2 3 9 BLEU
28 35 25 34 23 33 21 32 33 
29 36 24 35 22 34 20 33 33 
28 36 24 35 21 34 19 33 33 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 3 6 9 BLEU
37 39 34 38 31 37 29 36 38 
37 38 35 37 33 36 32 35 38 
38 39 36 38 34 37 32 36 38 
37 40 33 39 29 38 27 37 38 
37 40 33 39 29 38 26 37 38 
38 38 37 37 36 36 35 35 38 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 4 6 9 BLEU
38 38 37 37 36 36 35 35 38 
38 39 36 38 35 37 34 36 38 
38 39 36 38 34 37 32 36 38 
38 39 36 38 34 37 33 36 38 
38 39 36 38 34 37 32 36 38 
38 39 36 38 34 37 32 36 38 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 5 3 9 BLEU
28 30 26 29 24 28 22 27 33 
28 31 25 30 23 29 21 28 33 
28 32 25 31 23 30 21 29 33 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 6 3 9 BLEU
28 30 26 29 24 28 22 27 32 
28 31 25 30 23 29 21 28 32 
28 32 25 31 23 30 21 29 32 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 7 2 9 BLEU
31 33 28 32 25 31 22 30 36 
31 34 27 33 23 32 20 31 36 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 8 4 9 BLEU
26 28 24 27 22 26 20 25 31 
26 29 23 28 20 27 18 26 31 
26 29 23 28 20 27 17 26 31 
26 29 23 28 20 27 17 26 31 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 9 9 9 BLEU
17 21 12 20 9 19 7 18 19 
18 21 14 20 11 19 9 18 19 
17 21 12 20 9 19 7 18 19 
17 22 11 21 7 20 5 19 19 
17 22 11 21 8 20 6 19 19 
18 22 13 21 10 20 8 19 19 
18 22 13 21 9 20 7 19 19 
17 22 12 21 9 20 7 19 19 
18 22 14 21 11 20 9 19 19 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 10 14 9 BLEU
13 18 8 17 6 16 5 15 19 
14 18 10 17 8 16 7 15 19 
13 18 8 17 6 16 5 15 19 
14 19 7 18 5 17 4 16 19 
15 19 9 18 7 17 6 16 19 
13 19 8 18 6 17 5 16 19 
14 19 10 18 8 17 7 16 19 
13 19 8 18 6 17 5 16 19 
13 19 7 18 4 17 2 16 19 
14 19 7 18 5 17 4 16 19 
13 20 8 19 6 18 5 17 19 
14 19 10 18 8 17 7 16 19 
14 19 9 18 6 17 4 16 19 
13 19 7 18 4 17 2 16 19 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 11 17 9 BLEU
12 17 8 16 7 15 6 14 19 
12 18 7 17 6 16 5 15 19 
13 17 10 16 9 15 8 14 19 
13 18 9 17 8 16 7 15 19 
12 16 9 15 7 14 6 13 19 
12 17 8 16 6 15 5 14 19 
13 18 7 17 5 16 4 15 19 
13 16 11 15 10 14 9 13 19 
13 19 6 18 5 17 4 16 19 
13 17 10 16 9 15 8 14 19 
14 18 9 17 7 16 6 15 19 
14 19 8 18 7 17 6 16 19 
13 17 8 16 5 15 4 14 19 
13 18 7 17 5 16 4 15 19 
12 18 7 17 5 16 3 15 19 
12 18 8 17 7 16 6 15 19 
12 19 6 18 4 17 2 16 19 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 12 9 9 BLEU
17 21 12 20 9 19 7 18 19 
18 21 14 20 11 19 9 18 19 
17 21 12 20 9 19 7 18 19 
17 22 11 21 7 20 5 19 19 
17 22 11 21 8 20 6 19 19 
18 22 13 21 10 20 8 19 19 
18 22 13 21 9 20 7 19 19 
17 22 12 21 9 20 7 19 19 
18 22 14 21 11 20 9 19 19 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 13 15 9 BLEU
7 10 4 9 2 8 1 7 19 
7 11 3 10 2 9 1 8 19 
7 11 4 10 2 9 1 8 19 
